                        x                    pi(x)      Delta(x)
                        1.114                    0     +0.7881768096438255551252127937808278532687
                        1.115                    0     +0.7864488816045064697789140215458861147257
                        1.116                    0     +0.7847230115750488245547752373710545468302
                        1.117                    0     +0.7829991947457157762910929455801260533538
                        1.118                    0     +0.7812774263225747525067075404995010274876
                        1.119                    0     +0.7795577015274311948439498083502197859604
                        1.120                    0     +0.7778400155977626394184984164313119402495
                        1.121                    0     +0.7761243637866531320642058200433793491678
                        1.122                    0     +0.7744107413627279764747436471397809736571
                        1.123                    0     +0.7726991436100888132576055137780556105936
                        1.124                    0     +0.7709895658282490279295863000186302842504
                        1.125                    0     +0.7692820033320694858963330871859945218139
                        1.126                    0     +0.7675764514516945924719351259268625238912
                        1.127                    0     +0.7658729055324886760077892642704408899952
                        1.128                    0     +0.7641713609349726922131441014490052448948
                        1.129                    0     +0.7624718130347612477627916237226328330682
                        1.130                    0     +0.7607742572224999413003400917256963391001
                        1.131                    0     +0.7590786889038030199583673455613266539854
                        1.132                    0     +0.7573851034991913495295203265361272120540
                        1.133                    0     +0.7556934964440306964352953275332730685626
                        1.134                    0     +0.7540038631884703196518051140925720550556
                        1.135                    0     +0.7523161991973818707643144339503500498622
                        1.136                    0     +0.7506304999502986003347053749448231612114
                        1.137                    0     +0.7489467609413548687783193529541368073402
                        1.138                    0     +0.7472649776792259599588140184094141252772
                        1.139                    0     +0.7455851456870681957217718598619428966137
                        1.140                    0     +0.7439072605024593495998035465505209622479
                        1.141                    0     +0.7422313176773393579338038719775449006376
                        1.142                    0     +0.7405573127779513266668423128990649008591
                        1.143                    0     +0.7388852413847828320789044713508676651148
                        1.144                    0     +0.7372150990925075137423457826776126817048
                        1.145                    0     +0.7355468815099269579894756042081036604174
                        1.146                    0     +0.7338805842599128701951588943973765729790
                        1.147                    0     +0.7322162029793495341887048911449972645778
                        1.148                    0     +0.7305537333190765571206082339183172134627
                        1.149                    0     +0.7288931709438318981209185737589946380900
                        1.150                    0     +0.7272345115321951790971405979797259298464
                        1.151                    0     +0.7255777507765312760306082754325697299594
                        1.152                    0     +0.7239228843829341891412357101028201747036
                        1.153                    0     +0.7222699080711711903014229753580782856109
                        1.154                    0     +0.7206188175746272460906893818848972084317
                        1.155                    0     +0.7189696086402497148933194961835513535139
                        1.156                    0     +0.7173222770284933164519395541228555264043
                        1.157                    0     +0.7156768185132653723004943798527652699935
                        1.158                    0     +0.7140332288818713155105681924808548723948
                        1.159                    0     +0.7123915039349604681953874233274655936838
                        1.160                    0     +0.7107516394864720852261605311728044257183
                        1.161                    0     +0.7091136313635816626256494415500764018244
                        1.162                    0     +0.7074774754066475091140302926981394968198
                        1.163                    0     +0.7058431674691575792921882832252746437641
                        1.164                    0     +0.7042107034176765669576032169557507296583
                        1.165                    0     +0.7025800791317932570579194551381542436734
                        1.166                    0     +0.7009512905040681347971570357541974848576
                        1.167                    0     +0.6993243334399812504193103189616728235424
                        1.168                    0     +0.6976992038578803382037972759924870111960
                        1.169                    0     +0.6960758976889291882168670597939700564995
                        1.170                    0     +0.6944544108770562693726463775227858044333
                        1.171                    0     +0.6928347393789036023670070203908681349347
                        1.172                    0     +0.6912168791637758810568682826325953659528
                        1.173                    0     +0.6896008262135898408669095004720926531410
                        1.174                    0     +0.6879865765228238728149601405820352038266
                        1.175                    0     +0.6863741260984678817565583370589287951204
                        1.176                    0     +0.6847634709599733874583240826203896090397
                        1.177                    0     +0.6831546071392038671188809846423076822597
                        1.178                    0     +0.6815475306803853379650811557928782920397
                        1.179                    0     +0.6799422376400571785602419733417342342375
                        1.180                    0     +0.6783387240870231874699916566916116137401
                        1.181                    0     +0.6767369861023028779401434203226921928646
                        1.182                    0     +0.6751370197790830072497758952901396447956
                        1.183                    0     +0.6735388212226693394113911079644442472821
                        1.184                    0     +0.6719423865504386398986510863477705283998
                        1.185                    0     +0.6703477118917909010907606537853093921448
                        1.186                    0     +0.6687547933881017971310676842651767269958
                        1.187                    0     +0.6671636271926753669058935451552210343586
                        1.188                    0     +0.6655742094706969238579861499425739398717
                        1.189                    0     +0.6639865363991861913573064885403900242872
                        1.190                    0     +0.6624006041669506623601171947053992411065
                        1.191                    0     +0.6608164089745391820955391432943274612735
                        1.192                    0     +0.6592339470341957525268797342707516551482
                        1.193                    0     +0.6576532145698135573431149009628987805531
                        1.194                    0     +0.6560742078168892062439264581290907131688
                        1.195                    0     +0.6544969230224771972896576576707477705001
                        1.196                    0     +0.6529213564451445960954532188428343014909
                        1.197                    0     +0.6513475043549259306566961138296677815493
                        1.198                    0     +0.6497753630332783006006424826841315998974
                        1.199                    0     +0.6482049287730366996668886838379619566830
                        1.200                    0     +0.6466361978783695502269811135510479883620
                        1.201                    0     +0.6450691666647344486611005015932686278618
                        1.202                    0     +0.6435038314588341204173183589409506480477
                        1.203                    0     +0.6419401885985725835864345601412320303790
                        1.204                    0     +0.6403782344330115198328621281317234348834
                        1.205                    0     +0.6388179653223268515294285886789566153131
                        1.206                    0     +0.6372593776377655239513132073328774900424
                        1.207                    0     +0.6357024677616024913916364421757768657211
                        1.208                    0     +0.6341472320870979060684624651732640866110
                        1.209                    0     +0.6325936670184545087001680443605261150961
                        1.210                    0     +0.6310417689707752196332718554513986962263
                        1.211                    0     +0.6294915343700209294139078180926603455516
                        1.212                    0     +0.6279429596529684877011647386086098561497
                        1.213                    0     +0.6263960412671688894275027937888935248486
                        1.214                    0     +0.6248507756709056571183956115882667908098
                        1.215                    0     +0.6233071593331534182902352935125129960656
                        1.216                    0     +0.6217651887335366768523770754355778631421
                        1.217                    0     +0.6202248603622887774459908306317303381645
